epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,83.142,0.7148,0.77,1,0.55635,0.00023732,0.00023732,0.00023732
2,151.603,0.53708,0.78071,1,0.55226,0.000465909,0.000465909,0.000465909
3,218.264,0.53959,0.79143,1,0.52238,0.000685073,0.000685073,0.000685073
4,285.317,0.50998,0.80786,1,0.50328,0.000671588,0.000671588,0.000671588
5,353.253,0.47661,0.82929,1,0.44584,0.000657451,0.000657451,0.000657451
6,418.603,0.41856,0.85286,1,0.38751,0.000643314,0.000643314,0.000643314
7,479.094,0.37865,0.81786,1,0.46057,0.000629177,0.000629177,0.000629177
8,539.193,0.35282,0.87929,1,0.33241,0.00061504,0.00061504,0.00061504
9,599.906,0.32238,0.89143,1,0.29067,0.000600902,0.000600902,0.000600902
10,660.54,0.31018,0.89,1,0.31919,0.000586765,0.000586765,0.000586765
11,721.025,0.28776,0.89357,1,0.30695,0.000572628,0.000572628,0.000572628
12,781.559,0.27547,0.91643,1,0.23554,0.000558491,0.000558491,0.000558491
13,841.71,0.2655,0.88286,1,0.33673,0.000544354,0.000544354,0.000544354
14,902.178,0.22076,0.93,1,0.23602,0.000530216,0.000530216,0.000530216
15,963.208,0.22182,0.90286,1,0.28018,0.000516079,0.000516079,0.000516079
16,1023.94,0.19634,0.90643,1,0.27563,0.000501942,0.000501942,0.000501942
17,1084.7,0.17943,0.88714,1,0.35157,0.000487805,0.000487805,0.000487805
18,1145.67,0.17429,0.91214,1,0.29786,0.000473668,0.000473668,0.000473668
19,1206.69,0.17226,0.90786,1,0.26259,0.00045953,0.00045953,0.00045953
20,1267.34,0.17094,0.925,1,0.23964,0.000445393,0.000445393,0.000445393
21,1328.07,0.14405,0.93714,1,0.19774,0.000431256,0.000431256,0.000431256
22,1388.67,0.13143,0.93071,1,0.22212,0.000417119,0.000417119,0.000417119
23,1449.5,0.14109,0.93143,1,0.20743,0.000402982,0.000402982,0.000402982
24,1510.52,0.11935,0.93143,1,0.22118,0.000388844,0.000388844,0.000388844
25,1571.58,0.11483,0.92429,1,0.25483,0.000374707,0.000374707,0.000374707
26,1632.6,0.11482,0.92643,1,0.23136,0.00036057,0.00036057,0.00036057
27,1693.46,0.1008,0.92071,1,0.26046,0.000346433,0.000346433,0.000346433
28,1757.87,0.10238,0.93357,1,0.22416,0.000332296,0.000332296,0.000332296
29,1820.89,0.09907,0.92286,1,0.26104,0.000318158,0.000318158,0.000318158
30,1883.04,0.08807,0.92429,1,0.25252,0.000304021,0.000304021,0.000304021
31,1943.98,0.07895,0.935,1,0.22421,0.000289884,0.000289884,0.000289884
32,2004.48,0.07771,0.92929,1,0.24507,0.000275747,0.000275747,0.000275747
33,2070.18,0.06415,0.945,1,0.22508,0.00026161,0.00026161,0.00026161
34,2139.22,0.05369,0.93786,1,0.20005,0.000247472,0.000247472,0.000247472
35,2200.64,0.05099,0.93571,1,0.23012,0.000233335,0.000233335,0.000233335
36,2261.45,0.054,0.93429,1,0.24831,0.000219198,0.000219198,0.000219198
37,2322.17,0.06031,0.94071,1,0.22174,0.000205061,0.000205061,0.000205061
38,2382.9,0.05041,0.93857,1,0.23247,0.000190924,0.000190924,0.000190924
39,2443.05,0.03602,0.94071,1,0.20742,0.000176786,0.000176786,0.000176786
40,2508.76,0.03657,0.94357,1,0.20797,0.000162649,0.000162649,0.000162649
41,2605.23,0.03762,0.94357,1,0.20782,0.000148512,0.000148512,0.000148512
42,2665.36,0.03133,0.94286,1,0.21142,0.000134375,0.000134375,0.000134375
43,2724.54,0.02907,0.94786,1,0.2064,0.000120238,0.000120238,0.000120238
44,2783.92,0.02946,0.94286,1,0.20411,0.0001061,0.0001061,0.0001061
45,2843.43,0.02753,0.94643,1,0.20021,9.19632e-05,9.19632e-05,9.19632e-05
46,2903.1,0.02441,0.94643,1,0.19594,7.7826e-05,7.7826e-05,7.7826e-05
47,2962.65,0.02567,0.95214,1,0.19914,6.36888e-05,6.36888e-05,6.36888e-05
48,3022.3,0.02,0.95214,1,0.19283,4.95516e-05,4.95516e-05,4.95516e-05
49,3082.15,0.02163,0.95071,1,0.18256,3.54144e-05,3.54144e-05,3.54144e-05
50,3141.82,0.02406,0.94929,1,0.18693,2.12772e-05,2.12772e-05,2.12772e-05
